Ensembl_ID,KEGG_ID,Modified Pathway IDs
ENSMUSG00000027244,mmu:51897,mmu04211
ENSMUSG00000027244,mmu:51897,mmu05010
ENSMUSG00000027244,mmu:51897,mmu05014
ENSMUSG00000027244,mmu:51897,mmu05016
ENSMUSG00000027244,mmu:51897,mmu05017
ENSMUSG00000027244,mmu:51897,mmu05022
ENSMUSG00000024742,mmu:14156,mmu03030
ENSMUSG00000024742,mmu:14156,mmu03410
ENSMUSG00000024742,mmu:14156,mmu03450
ENSMUSG00000019297,mmu:67842,
ENSMUSG00000033031,mmu:224171,
ENSMUSG00000048755,mmu:223722,mmu00061
ENSMUSG00000048755,mmu:223722,mmu01100
ENSMUSG00000048755,mmu:223722,mmu01212
ENSMUSG00000036944,mmu:213068,
ENSMUSG00000049672,mmu:22666,
ENSMUSG00000037847,mmu:225994,mmu00760
ENSMUSG00000037847,mmu:225994,mmu01100
ENSMUSG00000041731,mmu:226041,
ENSMUSG00000040339,mmu:329739,
ENSMUSG00000010048,mmu:15983,
ENSMUSG00000047797,mmu:14618,
ENSMUSG00000037278,mmu:69071,mmu04080
ENSMUSG00000025279,mmu:13421,
ENSMUSG00000037989,mmu:75607,mmu04928
ENSMUSG00000034570,mmu:170835,mmu00562
ENSMUSG00000034570,mmu:170835,mmu01100
ENSMUSG00000056899,mmu:93757,mmu03060
ENSMUSG00000005981,mmu:68015,mmu05012
ENSMUSG00000005981,mmu:68015,mmu05022
ENSMUSG00000052131,mmu:11997,mmu00040
ENSMUSG00000052131,mmu:11997,mmu00051
