Ensembl_ID,KEGG_ID,Modified Pathway IDs
ENSMUSG00000023034,mmu:15370,mmu04927
ENSMUSG00000023034,mmu:15370,mmu04934
ENSMUSG00000036777,mmu:68743,
ENSMUSG00000007080,mmu:18973,mmu03030
ENSMUSG00000007080,mmu:18973,mmu03410
ENSMUSG00000007080,mmu:18973,mmu03420
ENSMUSG00000086587,mmu:100038514,
ENSMUSG00000026141,mmu:12823,mmu04974
ENSMUSG00000022562,mmu:75475,mmu00480
ENSMUSG00000022562,mmu:75475,mmu01100
ENSMUSG00000021044,mmu:72113,
ENSMUSG00000037993,mmu:64340,mmu03040
ENSMUSG00000034317,mmu:66949,
ENSMUSG00000029752,mmu:27053,mmu00250
ENSMUSG00000029752,mmu:27053,mmu01100
ENSMUSG00000029752,mmu:27053,mmu01230
ENSMUSG00000063903,mmu:16612,mmu04614
ENSMUSG00000063903,mmu:16612,mmu04961
ENSMUSG00000075702,mmu:114679,
ENSMUSG00000029003,mmu:71890,mmu04110
ENSMUSG00000029003,mmu:71890,mmu04114
ENSMUSG00000029003,mmu:71890,mmu04914
ENSMUSG00000029003,mmu:71890,mmu05100
ENSMUSG00000026669,mmu:70024,
ENSMUSG00000022360,mmu:70472,
ENSMUSG00000068328,mmu:11993,
ENSMUSG00000063683,mmu:107146,
ENSMUSG00000074802,mmu:237436,
ENSMUSG00000069874,mmu:54396,mmu04621
ENSMUSG00000069874,mmu:54396,mmu05145
ENSMUSG00000022580,mmu:14787,
ENSMUSG00000027469,mmu:72119,
ENSMUSG00000021250,mmu:14281,mmu01522
ENSMUSG00000021250,mmu:14281,mmu04010
ENSMUSG00000021250,mmu:14281,mmu04024
ENSMUSG00000021250,mmu:14281,mmu04210
ENSMUSG00000021250,mmu:14281,mmu04380
ENSMUSG00000021250,mmu:14281,mmu04620
ENSMUSG00000021250,mmu:14281,mmu04657
ENSMUSG00000021250,mmu:14281,mmu04658
ENSMUSG00000021250,mmu:14281,mmu04659
ENSMUSG00000021250,mmu:14281,mmu04660
ENSMUSG00000021250,mmu:14281,mmu04662
ENSMUSG00000021250,mmu:14281,mmu04668
ENSMUSG00000021250,mmu:14281,mmu04713
ENSMUSG00000021250,mmu:14281,mmu04725
ENSMUSG00000021250,mmu:14281,mmu04728
ENSMUSG00000021250,mmu:14281,mmu04915
ENSMUSG00000021250,mmu:14281,mmu04917
